word,definition,part of speech,example,source
robust,strong and full,adjective,"Chris preferred watery, mild beers, but Bhavin preferred a beer with more robust flavor.",Magoosh
widespread,existing across a large area or number of people,adjective,"As vaccine usage becomes more widespread, fewer people suffer from preventable diseases.",Magoosh
endure,to continue to exist; to live through bad experiences,verb,"Without food or water for days, the three shipwrecked survivors had to endure great hunger and thirst as they waited for rescue.",Magoosh
mend,"to fix, especially something torn or broken",verb,Jimmy and his father had stopped talking over the years and looked forward to mending their broken relationship over the holidays.,Magoosh
disperse,to cause to separate and go in different directions,verb,"Students came from many countries for English classes at our school, but after the program ended, they dispersed and never saw each other again.",Magoosh
foe,an enemy,noun,The robot army became a clear foe to all humans when they stopped doing what they were told and began destroying homes.,Magoosh
resent,to be quietly angry about something somebody else did or said,verb,I resented my older brother for all the times he started fights with my friends and me as children.,Magoosh
cling,to hold tightly onto,verb,"Standing in front of the airport, Judy clung to her father's arm and begged him not to leave.",Magoosh
durable,hard to break or damage (in a good way),adjective,"Andrew only buys durable shoes—if they can't survive at least ten years of regular wear, he won't even consider buying them.",Magoosh
impending,happening very soon,adjective,The impending doom of our world has been discussed and debated for over 2000 years.,Magoosh
persistent,continuing even though somebody tries to stop it (usually used for bad things),adjective,Sue's persistent coughing and sneezing continued until the cold developed into pneumonia and she had to get medication.,Magoosh
stunning,very beautiful,adjective,"The crowd took thousands of pictures of the movie star in her stunning dress, which was so beautiful they couldn't look away.",Magoosh
devoid,not having any of,adjective,Milly is the most serious person I know—her stories are always completely devoid of humor.,Magoosh
obscure,to make unclear known by only a few,"verb, adjective","While they drove past the Grand Canyon, Mr. Smith's big head obscured much of Mrs. Robinson's view, so she only saw small patches of red rock. Many words beginning with the letter 'x' are so obscure that only a few people have ever heard of them.",Magoosh
impartial,without preference or bias,adjective,"Sports referees have to be impartial, because if we know that they prefer one team, the final result becomes arguable.",Magoosh
dusk,the time of day immediately after the sun goes down,noun,"Even though the sun had set and dusk had fallen, Sara and Klaus stayed on the beach, talking and laughing into the night.",Magoosh
impede,to make hard or impossible to make progress,verb,"Virginia's back pains impeded her ability to work, until eventually she had to leave her job entirely.",Magoosh
deduce,to come to a conclusion through logic and evidence; to figure out,verb,"By analyzing the bones, we can deduce when the animal lived and, maybe, how it died.",Magoosh
phase,a period of time in a longer process of change,noun,There are at least three different phases in a frog's development from egg to adult.,Magoosh
retain,to keep; to continue to have or contain,verb,"Originally from France, Jean retains a hint of her French accent even today.",Magoosh
welfare,the health and happiness of a person or group,noun,A perfect government would care more about the welfare of its people than anything else.,Magoosh
exclude,to not include; to keep out of a list or group,verb,"I eat almost anything, excluding spicy foods. I hate hot peppers.",Magoosh
derive,"(usually ""be derived from"") to come from; originate from",verb,Many European languages are derived at least partly from Latin.,Magoosh
generate,to create; to produce (especially energy),verb,Movement generates heat.,Magoosh
impact,an effect that changes a situation to affect strongly the force of being hit hard,"noun, verb, noun",The end of the war had a large impact on economic growth. My father's advice hugely impacted my university decision. The impact of a car crash can send a driver who doesn't wear a seat belt through the window.,Magoosh
principle,a rule or idea that makes the base for a system (often moral),noun,The principles at the heart of the new religion are the same as many central beliefs of Christianity.,Magoosh
component,a part of a whole,noun,Many electronics are made of thousands of smaller components and wires.,Magoosh
pursue,to follow; to chase to try to achieve (a dream or goal),"verb, verb","The baby elephant ran, but the pack of lions pursued it. Man pursued the dream of flight for hundreds of years before the modern airplane was invented.",Magoosh
entity,a thing that exists or acts as one,noun,"The male angler fish will attach permanently to the female, and in time, the two fish will become a single entity.",Magoosh
coordinate,"to work or communicate with the different people, groups, or pieces involved in a large project",verb,"A chef at a big restaurant will spend his time coordinating all of the menus and other workers, not cooking.",Magoosh
monitor,to watch the quality or progress of something over time something or somebody which monitors,"verb, noun",We have been carefully monitoring the amount of salt in our oceans for the last 50 years. Heart rate monitors can be used for both medicine and exercise.,Magoosh
perspective,the appearance of objects from a particular direction a point of view; an opinion,"noun, noun","Young children's drawings do not have clearly defined perspective; you may see three walls of an outside of a building, for example. Many Hollywood movies, when watched from a woman's perspective, have clearly sexist characters.",Magoosh
integrate,to become a part of,verb,"It is difficult to smoothly integrate a small, foreign culture into the main culture of a country.",Magoosh
seek,to look for; to search,verb,"Across many different cultures' stories, heroes seek more than just gold or fame.",Magoosh
orient,"(usually ""to be oriented"") to move into a position in line with some specific point (usually ""to orient yourself"") to explore and become comfortable with","verb, verb","The statues appear to be oriented toward the sunrise. It took a few weeks to orient myself in the new job, but I feel comfortable now.",Magoosh
consist,to be made of,verb,The U.S. consists of fifty states.,Magoosh
external,outside (especially of a body or system),adjective,"Uncontrollable, external events can cause even a very careful company to fail.",Magoosh
emerge,to come out of,verb,"After a winter spent sleeping, the bear emerges from its cave.",Magoosh
constitute,to be the pieces that make a whole,verb,Fifty states constitute the U.S.A.,Magoosh
framework,"a structure for a building, system, or idea",noun,"Ellen's business plan may have failed, but it formed the framework for her next, successful plan.",Magoosh
commit,"to do or perform (something very negative, like a crime) to promise; to make a final and unchangeable decision (usually ""be committed to"") to give all of your energy to something","verb, verb, verb","Michiko committed too many grammar errors in her essay, and that hurt her score. Before you commit to a university, be sure to spend some time on campus. I'm completely committed to our baseball team's success; I'd do anything to win.",Magoosh
diverse,having many different types,adjective,"The student population is incredibly diverse at South State University, with students from 30 different countries.",Magoosh
enforce,to make people follow (a rule or law),verb,"Although smoking is not allowed on school campus, the ban isn't enforced, and many students smoke freely.",Magoosh
criteria,the measures by which something is judged or decided,noun,"A good TOEFL essay meets a few criteria, including good structure, clear ideas, and natural vocabulary.",Magoosh
discrete,separate; not the same thing and with no parts in common,adjective,Your left arm and right arm are controlled by two discrete areas of the brain.,Magoosh
valid,from a reasonable or correct basis,adjective,"Many people have said the artist Jackson Pollack's work didn't require much skill, and that idea is somewhat valid.",Magoosh
justify,to give a good reason for an action or situation (especially one that seems bad),verb,"Although Milos explained for a long time, he could not justify borrowing his brother's car without asking.",Magoosh
perceive,to be aware of; to sense or feel,verb,"If hunters are skilled, the animals will not perceive their presence.",Magoosh
aspect,"a feature, a characteristic, a particular part of something",noun,"The three most important aspects to think about when learning a language are grammar, vocabulary, and pronunciation.",Magoosh
core,central; of fundamental importance the center of something,"adjective, noun","Although we have made improvements in brain science, many of the core problems remain. The earth's core is made of liquid rock.",Magoosh
capacity,the amount or volume something can hold ability (especially mental),"noun, noun",The hotel is full to maximum capacity; there are no empty rooms. Few birds have the capacity to recognize themselves when looking in a mirror; most act as though there is a second bird behind the glass.,Magoosh
constrain,to limit the activity of; to restrict,verb,"Popular belief says that a pet fish's size is constrained by the size of the tank it's in, but this is actually false.",Magoosh
institute,to start (a rule or system) a group or organization that studies or works for something specific,"verb, noun","In January, we will institute a plan to make car accidents less frequent. The National Cancer Institute was created to learn more about, and hopefully cure, the many types of cancer.",Magoosh
policy,"a rule made by an organization, government, or company",noun,School policy does not allow alcohol on campus.,Magoosh
apparent,clearly seen or understood seeming (but not definitely true),"adjective, adjective","After only a few months, it was apparent that the French would not win the war. The shark's apparent sleepiness is actually because of how cold the water is.",Magoosh
facilitate,to make easier,verb,"Classical music, unlike many types of music, will generally facilitate learning and improve memory.",Magoosh
grant,to agree to give (something that was asked for) to admit; to say something is true,"verb, verb","The government has recently granted us access to information that was secret before. I disagree that snakes make good pets, but I'll grant that they're easy to take care of.",Magoosh
factor,a fact that influences or changes a result,noun,Two of the largest factors affecting children's healthy growth are food and relationships with parents.,Magoosh
scheme,a large plan the system by which something is arranged,"noun, noun",Microsoft's marketing scheme for their new tablet computer was less than successful. The modern scheme for naming different types of plants and animals started around 1800.,Magoosh
compensate,to correct a problem with another positive thing,verb,"The pay at Ian's new job was low, but the freedom his boss gave him compensated for that.",Magoosh
Magoosh Video Lessons,a resource available to students to help them study for the toefl. learn more at toefl.magoosh.com,noun,Henrik did well on the TOEFL after learning from over 100 Magoosh video lessons.,Magoosh
proportion,the size or amount of something compared to the whole or other parts,noun,"Cartoons of people often have exaggerated proportions, such as very large eyes or hands.",Magoosh
subsequent,immediately after,adjective,"Both the winter and the subsequent spring were surprisingly dry, with neither snow nor rain.",Magoosh
underlying,forming the basis for something,adjective,There is no single way to put an end to drug addiction since there are many underlying causes.,Magoosh
area,a range of subjects or studies; a field; a discipline,noun,"Researchers working in many different areas, from psychology to physics, will be able to use the new type of plastic.",Magoosh
recede,to go back to a previous position,verb,"Before a tsunami hits, the water recedes, which is dangerous for those who unknowingly go to investigate before the big waves come rushing in.",Magoosh
tedious,long and boring,adjective,"When asked to memorize every capital city in the world, Michael didn't understand why his teacher had asked him to do such a tedious task.",Magoosh
anomaly,"something that is not normal, standard, or expected",noun,"After finding anomalies in the data from her experiment on the effects of caffeine on turtles, Anne decided to start again.",Magoosh
fatigue,extreme tiredness from too much work,noun,The three-day hula-hooping contest left even the most experienced hula hoopers limp with fatigue.,Magoosh
sloping,"slanted, higher at one end and lower at the other",adjective,Most houses in Canada have sloping roofs because the weight of snow on a flat roof could destroy a house.,Magoosh
detrimental,causing harm or injury,adjective,"Many know that smoking is detrimental to your health, but processed sugar in large quantities is equally bad.",Magoosh
secrete,to produce a liquid (from or within a living thing),verb,"Saliva is created in the mouth constantly, but it is secreted most rapidly when eating or drinking.",Magoosh
pale,with very little color,adjective,"The cover of the book was originally bright red, but it became a pale pink after sitting in the sun for three months.",Magoosh
compulsory,required by rule,adjective,"Although she had always hated writing, Mary found that the compulsory Intro to Writing class taught her valuable skills.",Magoosh
twilight,the time of evening before complete darkness,noun,"The brightest handful of stars first become visible at twilight, but most stars stay hidden until the full darkness of night has fallen.",Magoosh
transitory,lasting a very short time,adjective,"If we lived forever and life was not transitory, do you think we would appreciate life less or more?",Magoosh
meticulous,with careful attention to details,adjective,"Overconfident students may understand how to solve math problems but not be meticulous in their calculations, resulting in wrong answers.",Magoosh
dynamic,able to change; changing frequently,adjective,"Robin Williams was a dynamic comedian: because of his sharp mind and ability to improvise, even his co-actors didn't know what he might say next.",Magoosh
induce,to cause to happen,verb,Staring at the small screen of a smartphone while on a car or train can induce headaches and motion sickness.,Magoosh
propagate,"to spread widely, create more of",verb,"Copernicus first wrote that the earth revolved around the sun, but it was Galileo who later propagated the idea to wider audience.",Magoosh
congregate,to come together into a crowd,verb,"As the protestor spoke, she drew more and more listeners, who slowly congregated around her to show support for her cause",Magoosh
strive,to try hard to achieve something,verb,"Every day he strives to be on time to work, but despite his honest efforts, he is late more often than not.",Magoosh
rustic,of the countryside; simple and old-fashioned,adjective,The artist was known for painting rustic landscapes since there were always cows and farms in his pictures.,Magoosh
exhaustive,complete and very detailed,adjective,"Wikipedia makes no claim to be an exhaustive encyclopedia, as many more obscure topics don't even have pages.",Magoosh
encroach,to move very near an acceptable limit,verb,The US President's ability to give military orders without declaring war encroaches on the Congress's authority in giving the formal declaration.,Magoosh
blunt,not sharp,adjective,The blunt knife can't cut the bread—it barely can cut the butter!,Magoosh
grave,very serious,adjective,"Most of Bach's orchestral melodies are light, but his organ music often has a grave quality that fits movie scenes of suspense or horror.",Magoosh
preposterous,"completely impossible, ridiculous",adjective,"Although it may be ridiculous today to believe the earth is flat, it's even more preposterous to think that the sky is a physical blue disc.",Magoosh
delusion,an incorrect idea that somebody believes strongly,noun,"I think his dream of living in wealthy Beverly Hills is a delusion, but he continues to tell people that is where he will be living in a year.",Magoosh
cherish,to care for lovingly,verb,"Although it was far less beautiful than her more expensive clothing, Leah cherished the dress her mother had made by hand.",Magoosh
mundane,ordinary and boring,adjective,"Although Jane knew being a lawyer would pay well, it seemed too mundane, so she left law school to pursue dreams of becoming a celebrity chef.",Magoosh
fraudulent,fake or untrue (generally of illegal claims),adjective,"Since I have no background in medicine, If I advertised my services as a doctor, I'd soon be arrested for making the fraudulent claim.",Magoosh
illusory,"not real, based on an illusion",adjective,"You think you may see water in the distance in a desert, but it is only an illusory effect created by the hot layer of air over the sand.",Magoosh
astute,able to see the most important information to make a decision,adjective,"Alfonzo was an astute chess player, always ready to use an opponent's misplay as an opportunity to attack.",Magoosh
analogous,similar in some respects but otherwise different,adjective,"There are few animals that form partnerships analogous to marriage, but among them are eagles, wolves, and even some fish.",Magoosh
probe,to explore and learn about using hands or a tool,verb,"The new camera is designed to probe the interiors of blood vessels, giving a detailed view that doctors have never had before now.",Magoosh
dissipate,to completely separate in all directions,verb,"Three days after I accidentally cooked a mouse that had crawled into my oven, the smell still hasn't dissipated.",Magoosh
covert,secret or hidden,adjective,"The attack was intended to be covert, but before it could begin, the entire plan was revealed to the target.",Magoosh
entice,to attract or persuade with promises of benefits,verb,Some of the most effective hunters are those who entice their targets into traps with the appearance or smell of food.,Magoosh
perplex,to confuse somebody,verb,"Even skilled mathematicians are sometimes perplexed by physics, since the logic comes not from abstract rules but from the physical world.",Magoosh
instrumental,acting as a key part of a process,adjective,"The university believed that passion was instrumental to learning—without it, you'd be wasting your time in class.",Magoosh
ailment,a small sickness or cause of physical discomfort,noun,"At the age of 80, my grandfather is lucky to have no major illness and struggle with only a small number of minor ailments.",Magoosh
carve,to cut from a hard material,verb,"With careful strokes of a sharp blade, the sculptor carved his beautiful statue from a single piece of wood.",Magoosh
outgoing,comfortable when talking to other people,adjective,"Dave is outgoing and confident nowadays, especially at parties, but few know that he struggled with social anxiety earlier in life.",Magoosh
jolt,to suddenly move or push hard,noun,"When the traffic light turned green, all of Mike's passengers suddenly felt a jolt as he pushed his foot down hard on the gas pedal.",Magoosh
incentive,a promised reward to motivate,noun,"Tom knew none of his friends would help him move to his new house without an incentive, so he promised to buy everybody pizza at the end of the day.",Magoosh
fluctuate,to go up and down regularly in amount,verb,"While the light of the Sun appears constant from day to day, the light of the Moon fluctuates over the course of a month.",Magoosh
plead,"to ask for emotionally, to beg",verb,"Crying, the new driver pleaded with the officer not to give her a speeding ticket, but he refused to listen, his face emotionless.",Magoosh
append,to add to the end,verb,"Mozart, dissatisfied with the tragic, destructive ending to his opera Don Giovanni, appended a final scene that gives a lighter conclusion.",Magoosh
relic,a highly valued object from a very long time ago,noun,Among the relics held in Notre Dame cathedral is a piece of wood believed to be part of the cross on which Jesus died.,Magoosh
strenuous,requiring a lot of physical effort,adjective,"One of the most strenuous races on earth, the Ironman Triathlon requires swimming 2.4 miles, biking 112 miles, and then running a marathon.",Magoosh
vanquish,to win completely in a competition or fight,verb,Modern medicine has nearly vanquished some diseases that only two generations ago might have been deadly.,Magoosh
successor,a person who has a role after a previous person,noun,"US President James Buchanan didn't know what to do when the US Civil War started, but fortunately his successor, Abraham Lincoln, was a wise leader.",Magoosh
counterpart,a person or thing with the same function as another in a different place,noun,"Years after the war in Vietnam, General Westmoreland of the American Army criticized the strategies of his counterpart from the North, General Giap.",Magoosh
vivid,with strong images or colors,adjective,"In its famous baptism scene, the movie The Godfather showed a vivid contrast between the peace of a church and bloody murders of gang rivals.",Magoosh
fracture,to break (of something very hard),verb,"Under the enormous weight of a modern city building, stones without enough support will fracture, leading to collapse.",Magoosh
pivotal,exteremely important in order to succeed,adjective,The CEO made it very clear to his employees that quick development and publication of results were pivotal to ensure more funding.,Magoosh
endorse,to publicly agree with and support,verb,The teacher's union endorsed the candidate's plan to increase school funding by placing a higher tax on cigarettes.,Magoosh
elicit,to cause feelings or responses to come out,verb,Just smiling—even if you are depressed—can elicit feelings of pleasure and happiness.,Magoosh
implausible,describing a statement that is not believable,adjective,Sally knew James was lying because his story was so implausible—nobody could have stayed awake for 80 straight hours.,Magoosh
feasible,possible to do without problem,adjective,Our global economy is so complicated that it is not feasible for one person to understand it entirely.,Magoosh
scores,a large number of something,noun,"When Andrew tipped over the tall black bookshelf, scores of books and magazines came crashing to the floor.",Magoosh
analogy,a comparison of two very different things that have one similar aspect,noun,"There are surprising analogies we can make between medicine and warfare, especially in cancer treatment, which uses radiation to attack tumors.",Magoosh
obsolete,not used anymore,adjective,"Vinyl records are generally obsolete as a way to play music, but some collectors value them highly for their distinctive sound.",Magoosh
outlook,how a person thinks about the world,noun,"With her warm smile and ability to find the advantages of even the worst situations, Janet became known in the office for her positive outlook.",Magoosh
consensus,an agreement reached by a whole group of people,noun,"Alicia and her sisters argued for weeks about who would live in the house their parents had left, eventually reaching a consensus to simply sell it.",Magoosh
superfluous,"more than is needed, desired, or required",adjective,"The dictionary has provided all of its content online for free, so buying the book is superfluous for anyone with a smartphone.",Magoosh
irrevocable,impossible to reversed,adjective,"Fleeing his country was Abraham's best chance at survival, but once he left his decision would be irrevocable.",Magoosh
ragged,with uneven edges; torn,adjective,"I tried to sell my textbooks after I graduated, but their pages were so ragged that nobody would buy them.",Magoosh
invoke,to mention a topic in order to make people feel a certain way,verb,"The strongest argument to preserve the land as a national park came from the local natives, who invoked the respect for nature of their ancestors.",Magoosh
barren,not able to produce plants (of land),adjective,"Many Americans think of the Sonoran Desert as entirely barren, unaware of the diverse ecosystem that actually survives in that harsh environment.",Magoosh
harness,to take control of power or energy in order to use it,verb,"""If you could just harness some of that youthful energy,"" said my mother, ""you'd be able to get better grades.""",Magoosh
brisk,quick and energetic,adjective,Alice walked at such a brisk pace that Frank began sweating trying to stay next to her.,Magoosh
striking,very noticeable and unusual,adjective,"Most of the people in the picture were smiling, but one little child looked out at the photographer with a striking frown.",Magoosh
serene,perfectly calm,adjective,"Feeling entirely relaxed, Abigail looked at the ocean out her window with a serene smile on her face.",Magoosh
remnant,a small piece that is left when most is gone,noun,A crumb of cheese on the table was the only remnant of last night's celebratory dinner.,Magoosh
futile,without the possibility of success,adjective,"""I am far too powerful to be stopped now,"" boasted the evil wizard. ""Your quest is futile.""",Magoosh
eradicate,to completely destroy,verb,"I tried eradicating the mosquitos in my apartment with a rolled up newspaper, but there were too many of them.",Magoosh
waive,to say officially that a normal requirement isn't required,verb,The government decided to waive the minimum number of classes needed to maintain student visas for those who met family requirements instead.,Magoosh
upheaval,"a violent, sudden, and large change",noun,"The earthquake raised miles of land several feet higher in a single, massive upheaval.",Magoosh
profound,extremely strongly felt,adjective,Louise felt a profound dislike for the rude young man who spat on the street in front of her.,Magoosh
affluent,wealthy,adjective,The homes at the top of the hill are so large and beautiful that only the highly affluent can afford them.,Magoosh
potent,with a very strong effect,adjective,"A cup of tea can be nice, but when you need to stay awake, espresso is a more potent solution.",Magoosh
turbulent,a little bit chaotic or violent and disorganized,adjective,The once calm classroom grew turbulent when a hand-sized spider ran across the floor.,Magoosh
tenacious,unchanging and stubborn,adjective,Starting a career as a poet is almost impossible today—only the most tenacious writers follow their dreams long enough to find success.,Magoosh
apprehension,fear that something bad will happen,noun,"Every time I get on an airplane, I breathe deeply and tell myself it's safe, but still I have a feeling of apprehension as we take off.",Magoosh
faint,very light or small (of a feeling or sense),adjective,"A gust of cool autumn wind blew through the window, and Sebastian felt a faint chill on the back of his neck.",Magoosh
apathetic,with no emotion or interest,adjective,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.,Magoosh
intersperse,to place among or between other things,verb,"The garden was a mess, with unwanted grass interspersed throughout the flowers.",Magoosh
synthesize,to combine two different things into one,verb,The scientist realized that it would be faster to buy the more complex chemicals instead of synthesizing them from simpler ones.,Magoosh
derivative,imitating or based on,adjective,Most of the fashions this year are derivative; they copy the style that was popular a few years ago.,Magoosh
clumsy,awkward and without skill,adjective,John is not trying to be destructive but is merely clumsy; most of the items he has broken were not in his line of sight when he bumped into them.,Magoosh
rugged,rough and uneven or rocky,adjective,"Mountain paths tend to be covered in tree roots and a mixture of rocks, making strong footwear important when dealing with the rugged ground.",Magoosh
cozy,"small, warm, and comfortable",adjective,"After hiking for hours through the snow, Janice felt warm and cozy resting under a thick blanket with a cup of hot cocoa.",Magoosh
meager,not enough in amount,adjective,Aunt Lu's meager collection of board games was not enough to keep the children entertained on a rainy day.,Magoosh
paradox,a situation that seems impossible because it is made of opposite things,noun,"When he first arrived in the desert, Alex did not believe the paradox that drinking hot tea could make a person feel cool.",Magoosh
colossal,extremely large,adjective,"Few appreciate the colossal size of the sun: if hollow, it could contain a million Earths.",Magoosh
ingenuity,the quality of being clever and original,noun,"Although Thomas Edison is often remembered for his inventions and ingenuity, it was his talent in business that truly made him great.",Magoosh
prevail,"to continue to exist, staying important or common",verb,"Despite the best efforts of environmentalists around the world, oil, gas, and coal have prevailed as the main sources of energy.",Magoosh
viable,possible to be done successfully,adjective,The lost hikers' plan to build a shelter before dark seemed much less viable when the sky grew cloudy.,Magoosh
devise,to think of or plan an idea or system,verb,Students in Mr. Needham's physics class had to devise a method for protecting an egg as it was dropped from the roof of the school.,Magoosh
rural,"in or relating to the countryside, away from cities",adjective,"Ron preferred to live outside the city, as he had grown up near a lake surrounded by a forest in the more rural part of his hometown.",Magoosh
predominant,most frequent or common,adjective,"The predominant color in the paint was white, even though the name ""morning sun"" made it sound yellow.",Magoosh
desist,to stop doing,verb,The lawyer warned the new hamburger restaurant that they would be sued if they did not desist all use of the copy of the McDonald's logo.,Magoosh
shred,a very small amount,noun,"After examining the crime scene, the detectives knew they were dealing with professional thieves — not a single shred of evidence was left behind.",Magoosh
sheer,only (used to show large amounts of one thing having an effect),adjective,The sheer size of the Amazon river makes it very difficult to cross at some points.,Magoosh
fasten,to attach or tie tightly to something (not using glue),verb,The dog's owner made sure to fasten the leash to a nearby tree with a strong knot to make sure it didn't escape again.,Magoosh
ensue,to happen as a result,verb,"If a cut isn't cleaned and treated quickly, an infection may ensue.",Magoosh
innate,"existing from birth, not learned",adjective,Languages have been created in every culture because humans have an innate need to communicate.,Magoosh
arduous,difficult and requiring a lot of effort,adjective,"I don't think I'd make a good triathlete: I find swimming and cycling easy enough, but I find running absolutely arduous.",Magoosh
medium,"the material or method used, especially for communication and art",noun,The artist used finger paint as his medium to remind the viewer of childhood.,Magoosh
hue,a color,noun,We watched from our campsite on top of the mountain as the sun set and changed the hue of the sky to the colors of a peach.,Magoosh
adjacent,near or close but not necessarily touching,adjective,The owners of the two adjacent shops worked together to clean up the alley that separated their buildings.,Magoosh
refute,to prove to be false or incorrect,verb,Newly found videos of the security guard sleeping during the robbery at the shopping mall refute his story of having chased the thief.,Magoosh
confer,to meet and discuss before deciding,verb,"Before I invite you to join our secret club, I'll have to confer with the other members and get their approval.",Magoosh
stall,to delay or pause in order to get more time,verb,"When asked to marry a man she didn't love, Charlotte stalled by faking a sudden coughing fit that prevented her from talking.",Magoosh
esteem,respect from people,noun,"The students held their professor in high esteem: she was not only a well-known author, but also a wise teacher and a friendly mentor.",Magoosh
elude,to not be caught,verb,"The infamous art thief had eluded the police once more, but he still had not found a buyer for the stolen painting.",Magoosh
intrinsic,"belonging to the most basic nature of something, impossible to remove",adjective,"In the past, when we used gold and silver, money had far more intrinsic value than the paper we use today.",Magoosh
conspicuous,easy to see,adjective,"""Just my luck!"" said Sam, whose forehead had grown a conspicuous pimple the day before the school dance.",Magoosh
prevalent,common throughout a wide area at a certain time,adjective,The virus was most prevalent in humid areas where mosquitoes were common and could pass it from person to person.,Magoosh
ominous,giving a feeling that something bad will happen,adjective,"Dark skies and lightning loomed over the town constantly, leaving the residents with an ominous feeling and fear of the weather.",Magoosh
oversee,to lead and be sure something is done correctly,verb,"The chief engineer oversaw the development of the new computer chip, making sure that each part of the design fit into the overall plan.",Magoosh
drowsy,sleepy,adjective,"The day dragged on, and the only thing keeping the workers from getting drowsy was the automatically refilling coffee machine.",Magoosh
apathy,an absence of emotion or enthusiasm,noun,"The hardest part of teaching high-school math is fighting apathy in my students—or for that matter, keeping them awake at all.",Magoosh
liable,"likely to do or happen (with ""to,"" used for negative effects)",adjective,"""Secure that tent,"" said the camp leader, ""or it's liable to blow away in the wind.""",Magoosh
calamity,an event resulting in a lot of loss or pain,noun,"""It's just jewelry,"" said Frank, but to Augusta, the loss of her favorite necklace was a calamity.",Magoosh
incline,an area that is higher at one end and lower at the other,noun,"Many houses in San Francisco are built on sharp inclines, so some buildings have three floors on one side but only two on the other.",Magoosh
proliferate,to grow in number quickly,verb,"When the researchers left for lunch, they counted 200 bacteria in the sample; afterward, the microbes had proliferated to over 4000.",Magoosh
secluded,hidden from view; away from people,adjective,"Although the businessman had to spend most of his time in the crowded city, he preferred living in a secluded cottage in the quiet, empty countryside.",Magoosh
vicarious,experienced through a second person,adjective,"Without money, Ben had to settle for the vicarious experience of watching the host of his favorite TV show travel to many exciting countries.",Magoosh
tame,not wild,adjective,The wild horses of the plains were unable to be tamed by anyone but the most experienced handlers.,Magoosh
oblong,longer in one direction,adjective,"The huge, oblong table was set for ten people: four on each side, and one on each end.",Magoosh
procure,to get after special effort to find,verb,The chef made every effort to procure the rare vegetables for his wife's favorite dish as a gift for their 30th wedding anniversary.,Magoosh
abstain,to choose not to do (used for enjoyable but possibly harmful actions),verb,"My uncle Ethan was in a car accident in college while driving home from a party, and he has abstained from alcohol ever since.",Magoosh
dreary,sad and boring or colorless,adjective,"The party was a dreary affair: only five people showed up, and none of them could find much to talk about.",Magoosh
perpetuate,to cause to continue,verb,"If you do not let him do things for himself, you are merely perpetuating bad habits that will be even harder to break in the future.",Magoosh
blatant,"very obvious, without trying to hide (used for bad things)",adjective,Vincent's blatant disregard for the rules got him into a lot of trouble at his strict private school.,Magoosh
fragrant,"having a strong, good smell",adjective,"Shirley loved growing roses because they were much more fragrant than the other, more dull smelling flowers in her garden.",Magoosh
plausible,"possibly true, realistic",adjective,"After recordings of the president discussing the illegal actions of his advisors became public, it no longer seemed plausible that he was blameless.",Magoosh
jagged,uneven and sharp,adjective,Dave was sure he could have climbed higher if he hadn't cut his hands on the jagged edges of the cliff face.,Magoosh
comprise,to be made of,verb,"Although most of the former state is now part of Russia, the Soviet Union comprised fifteen now independent countries.",Magoosh
evade,to not be caught; to avoid,verb,The burglars evaded the police by driving as quickly as they could through a narrow and twisting road.,Magoosh
subsume,to contain or include,verb,"At many universities, the pre-med courses are subsumed in the Biology department rather than given a department of their own.",Magoosh
undermine,to weaken (usually paired with an abstract term),verb,William undermined the teacher's authority by questioning her judgment on numerous occasions.,Magoosh
diffuse,to spread out widely,verb,"The food coloring quickly diffused into the water, adding a hint of blue.",Magoosh
thrive,to grow strong and healthy,verb,The gardener was pleased to find that his new plants only needed a small amount of sunshine and water to thrive and grow quickly.,Magoosh
overshadow,to make seem small or unimportant by comparison,verb,"Jennifer was excited about her basketball team's victory, but her older brother then announced his wife's pregnancy and overshadowed her news.",Magoosh
urbane,"confident, sophisticated, and polite",adjective,The waiter was so urbane that he maintained his professionalism even when the customer began explaining the unpleasant details of her surgery.,Magoosh
erode,to be slowly destroyed by wind and rain,verb,The Appalachian mountains are lower than the young Rocky Mountains because the Appalachians have been steadily eroding for much longer.,Magoosh
morph,to change shape; to become something new,verb,I am amazed by his ability to morph a shapeless lump of clay into a delicate and perfectly symmetrical vase.,Magoosh
so-called,called a something that is not appropriate (used before the incorrect term),adjective,"""I can't believe that I thought William was really an Olympic athlete!"" Helen fumed. ""That so-called gold medal was made from chocolate and tin foil!""",Magoosh
craze,something very popular for a short time,noun,Doctors spent several months raising public awareness about the negative effects of the new diet craze that was sweeping the country.,Magoosh
hamper,to slow the progress of or make more difficult,verb,The steep incline and hot weather hampered the group's efforts to reach the top of the hill in time to see the fireworks.,Magoosh
ruthless,not caring about hurting people,adjective,"The ruthless leader ordered bombings of the southern border of his own country, where thousands of his people lived, in order to win the battle.",Magoosh
wane,to decrease in power or size,verb,The politician's career waned as the widening gap between his views and those of who he represented became more obvious.,Magoosh
nuance,a small difference in meaning or a very small detail,noun,Listen to your favorite song on these $500 headphones and you'll hear nuances you'd never heard before.,Magoosh
baffle,to completely confuse,verb,The overly technical vocabulary of the paper baffled the students who did not have as much experience as their older classmates.,Magoosh
excavate,to remove by digging in the ground,verb,"The new apartment building will have underground parking, so the entire site is being excavated, after which they'll build up from the lowest level.",Magoosh
